id	title	priority	layer	status
SEC-006	路径穿越	P0	Security	planned
SEC-007	真实 IP 伪造	P0	Security	planned
SEC-008	SPA 路由	P0	Regression	planned
SEC-009	Token 日志	P0	Security	pass
SEC-010	CSRF	P0	Security	pass
PERF-001	10k 节点解析	P1	Benchmark	planned
PERF-002	10k 节点列表	P1	Browser Perf	planned
PERF-003	缓存订阅	P1	Load	planned
PERF-004	无缓存生成	P1	Load	planned
PERF-005	并发订阅下载	P1	Load	planned
PERF-006	长时间运行	P1	Soak	planned
